"","age","mean","sd"
"1",0.25,44.8615347689535,9.24544006224643
"2",0.5,42.6834091330662,8.58067605713341
"3",0.75,40.6140699741413,8.39085522459029
"4",1,38.9731781803413,7.99252679365019
"5",1.5,36.2818861161241,7.33593803860956
"6",2,31.961971927676,5.67737138494086
"7",3,27.9999999996358,4.55306670279512
"8",4,25.0000000000099,3.05214300183076
"9",6,23.0846798987077,2.80200552918703
"10",8,21.2478690868684,2.30697123725176
"11",12,19.2478690868684,2.30697123725182
"12",15,17.7521309131316,2.30697123725172
"13",25,16.2478690868684,2.30697123725176
